Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor
VERKHNECHONA,DANILOV (PREOBRAZHEN HZ),RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,INVERSION,60.8929,109.0385,VERKHNECHONSKNEFTEGAZ,ONSHORE,OIL,DEVELOPING,INVERSION,1515.6,PROTEROZOIC-CAMBRIAN,DOLOMITE,13.8,9.9,11.0,83.0,852.4096385542168,0.11,,
VERKHNECHONA,NEPA (VCH1-VCH2),RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,INVERSION,60.8929,109.0385,VERKHNECHONSKNEFTEGAZ,ONSHORE,OIL,DEVELOPING,INVERSION,1564.8,PROTEROZOIC,SANDSTONE,60.0,7.5,10.0,209.0,852.4096385542168,0.4,,
VERMEJO-MOORE HOOPER,FUSSELMAN-WINK,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.672,-103.532,FOREST OIL /ODESSA EXPLORATION,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,5527.5,SILURIAN,DOLOMITE,38.1,10.2,5.0,5.0,,,,0.75
VESLEFRIKK,BRENT,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.7984,2.9133,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2534.1,JURASSIC,SANDSTONE,128.1,83.7,18.0,800.0,839.7626112759643,0.31,,
VESLEFRIKK,DUNLIN (INTRA DUNLIN SAND),NORWAY,EUROPE,NORTH SEA NORTHERN,,60.7984,2.9133,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2799.9,JURASSIC,SANDSTONE,17.1,7.8,,200.0,829.9120234604105,0.34,,
VICTOR,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION,53.3299,2.3626,CONOCOPHILLIPS,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT,2452.5,PERMIAN,SANDSTONE,112.5,110.7,16.0,52.0,738.9033942558747,,,0.77
VICTORY,LANSING-KANSAS CITY,USA,NORTH AMERICA,ANADARKO,COMPRESSION,37.3971,-100.9544,BP,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1222.5,CARBONIFEROUS,LIMESTONE,45.0,3.0,22.0,85.0,829.9120234604105,,,
VILLEPERDUE,DALLE NACREE,FRANCE,EUROPE,PARIS,EXTENSION,48.8167,3.6,COPAREX /TRITON,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,1797.0,JURASSIC,LIMESTONE,22.5,18.0,14.0,10.0,849.8498498498498,0.25,,
VIRDEN,LODGEPOLE,CANADA,NORTH AMERICA,WILLISTON,COMPRESSION,49.8698,-100.9538,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,574.5,CARBONIFEROUS,LIMESTONE,99.0,6.0,10.0,35.0,849.8498498498498,0.3,,
WAFRA,MINAGISH,NEUTRAL ZONE,MIDDLE EAST,THE GULF,COMPRESSION,28.6,47.8833,CHEVRON /KUWAIT OIL CO,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1974.0,CRETACEOUS,LIMESTONE,195.0,60.0,21.5,100.0,907.0512820512821,,,
WANDOO,M. AUSTRALIS,AUSTRALIA,FAR EAST,CARNARVON,INVERSION,-20.1277,116.4203,EXXONMOBIL,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,497.1,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,49.2,29.4,32.0,7500.0,940.1993355481728,0.44,,
WANGCHANG,QIANJIANG,CHINA,FAR EAST,JIANGHAN,EXTENSION,30.41,112.81,SINOPEC,ONSHORE,OIL,NEARLY DEPLETED,RIFT,726.3,PALEOGENE,SANDSTONE,1770.0,8.4,18.3,386.0,870.7692307692307,0.46,,
WANGZHUANG,TAISHAN,CHINA,FAR EAST,BOHAI,EXTENSION,37.7167,118.2833,SINOPEC,ONSHORE,OIL,NEARLY DEPLETED,RIFT,1448.7,ARCHEAN,BASEMENT,196.8,57.0,1.8,7.8,839.7626112759643,0.27,,
WAR-WINK SOUTH,BONE SPRING (3RD SANDSTONE),USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.6533,-103.3046,KERR MCGEE AND OTHERS,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,3373.5,PERMIAN,SILTSTONE,25.2,7.8,10.0,0.5,808.1096516276414,,,
WATERTON,RUNDLE-WABAMUN (A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,49.3077,-114.0869,SHELL,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,SUB-THRUST,2430.0,DEVONIAN-CARBONIFEROUS,DOLOMITE,705.0,42.6,4.0,0.6,825.072886297376,,,0.85
WEEKS ISLAND,S SAND (RESERVOIR B) OR S RB,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,29.8184,-91.778,SHELL AND OTHERS,ONSHORE,OIL,NEARLY DEPLETED,SALT,3480.0,NEOGENE,SANDSTONE,66.3,55.8,26.0,3500.0,870.7692307692307,0.86,,
WEIYUAN,DENGYING,CHINA,FAR EAST,SICHUAN,COMPRESSION,29.7333,104.75,PETROCHINA,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,2845.5,PROTEROZOIC,DOLOMITE,639.9,27.6,1.8,0.2,,,,0.36
WELL DRAW,MESAVERDE (TEAPOT SAND),USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,43.006,-105.1392,MATRIX PRODUCTION AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1910.1,CRETACEOUS,SANDSTONE,33.0,5.1,14.0,4.3,815.5619596541786,,,
WEMBLEY,HALFWAY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.2197,-119.1749,BP AND OTHERS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1837.5,TRIASSIC,SANDSTONE,24.0,6.6,10.2,60.0,801.6997167138811,0.2,,
WENMINGZHAI,SHAHEJIE,CHINA,FAR EAST,BOHAI,EXTENSION,35.77,115.2,SINOPEC,ONSHORE,OIL,MATURE PRODUCTION,RIFT,1338.6,PALEOGENE,SANDSTONE,1968.6,45.9,25.0,420.0,898.4126984126984,0.37,,
WEST BRANCH,DUNDEE,USA,NORTH AMERICA,MICHIGAN,,44.262,-84.1784,MARATHON,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,777.0,DEVONIAN,LIMESTONE,54.0,8.4,,4.0,854.9848942598187,,,
WEST CHEYENNE,UPPER MORROW (PURYEAR),USA,NORTH AMERICA,ANADARKO,COMPRESSION,35.585,-99.7432,APACHE /BURLINGTON,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,4350.0,CARBONIFEROUS,CONGLOMERATE,13.8,6.9,13.0,0.4,,,,0.85
WEST PEMBINA,NISKU (BIGORAY C POOL),CANADA,NORTH AMERICA,WESTERN CANADA,,53.2287,-115.8008,NUMEROUS,ONSHORE,OIL,UNKNOWN,FORELAND,2385.3,DEVONIAN,LIMESTONE,95.4,47.1,,278.0,860.1823708206687,0.46,,
WEST PEMBINA,NISKU (PEMBINA L POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.2287,-115.8008,NUMEROUS,ONSHORE,OIL,UNKNOWN,FORELAND,2791.8,DEVONIAN,DOLOMITE,69.9,50.1,11.8,1407.0,820.2898550724638,0.82,,
WEST SAK,WEST SAK,USA,NORTH AMERICA,NORTH SLOPE,,70.3401,-149.5375,CONOCOPHILLIPS,ONSHORE,OIL,DEVELOPING,FORELAND,600.0,CRETACEOUS,SANDSTONE,90.0,17.7,,140.0,959.3220338983051,,,
WEST SEMINOLE,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.766,-102.811,OCCIDENTAL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1443.0,PERMIAN,DOLOMITE,180.0,12.0,9.9,9.0,852.9234478601567,0.28,,
WEST TEBUK,F2-F0,RUSSIA,FORMER SOVIET UNION,TIMAN-PECHORA,COMPRESSION,63.6375,54.9269,KOMINEFT,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION,1047.9,DEVONIAN,LIMESTONE,294.0,60.0,12.0,200.0,887.1473354231974,,,
WESTHOPE SOUTH,CHARLES,USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.8521,-101.013,AMERADA HESS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,982.5,CARBONIFEROUS,DOLOMITIC LIMESTONE,12.9,4.6,10.0,2.6,842.2619047619047,0.15,,
WESTHOPE SOUTH,SPEARFISH,USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.8521,-101.013,AMERADA HESS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,982.5,TRIASSIC,SANDSTONE,12.9,4.6,14.0,13.5,842.2619047619047,0.15,,
WEYBURN,CHARLES (MIDALE BEDS),CANADA,NORTH AMERICA,WILLISTON,COMPRESSION,49.5354,-103.7584,ENCANA,ONSHORE,OIL,SECOND PLATEAU PRODUTION,INTRACRATONIC,1290.0,CARBONIFEROUS,DOLOMITE,24.6,9.9,15.0,10.0,881.619937694704,0.39,,
WHITE ROSE,AVALON (SOUTH POOL),CANADA,NORTH AMERICA,JEANNE D ARC,EXTENSION,46.8638,-48.0664,HUSKY ENERGY,OFFSHORE,OIL,DEVELOPING,RIFT,2652.6,CRETACEOUS,SANDSTONE,295.2,98.4,15.0,127.0,876.1609907120743,0.32,,
WHITNEY CANYON-CARTER CREEK,MISSION CANYON,USA,NORTH AMERICA,FOSSIL,COMPRESSION,41.5135,-110.9286,CHEVRON /BP,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SUB-THRUST,3990.0,CARBONIFEROUS,DOLOMITE,225.0,78.3,7.0,1.0,810.888252148997,,0.48,0.44
WILBURTON,ARBUCKLE,USA,NORTH AMERICA,ARKOMA,COMPRESSION,34.8366,-95.3885,BP,ONSHORE,GAS,MATURE PRODUCTION,THRUST,3858.0,CAMBRIAN-ORDOVICIAN,DOLOMITE,675.0,75.0,1.1,0.0,,,,
WOLONGHE,HUANGLONG,CHINA,FAR EAST,SICHUAN,COMPRESSION,30.176,107.2948,PETROCHINA,ONSHORE,GAS,DECLINING PRODUCTION,THRUST,3672.0,CARBONIFEROUS,DOLOMITE,29.4,9.9,6.0,0.2,,,,
WUBAITI,HUANGLONG,CHINA,FAR EAST,SICHUAN,COMPRESSION,31.1072,108.0421,PETROCHINA,ONSHORE,GAS,DEVELOPING,THRUST,4134.0,CARBONIFEROUS,DOLOMITE,29.4,23.7,6.0,0.8,,,,0.82
WYTCH FARM,SHERWOOD,UK,EUROPE,WESSEX,INVERSION,50.6672,-2.0278,BP,ONSHORE-OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,1486.2,TRIASSIC,SANDSTONE,157.5,45.0,18.0,100.0,834.8082595870206,0.55,,
XIAOJI,KONGDIAN-1,CHINA,FAR EAST,BOHAI,EXTENSION,38.17,117.09,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,2625.0,PALEOGENE,SANDSTONE,369.0,37.5,15.6,83.0,881.619937694704,0.32,,
XINGLONGTAI,SHAHEJIE (XINGLONGTAI),CHINA,FAR EAST,BOHAI,EXTENSION,41.15,122.05,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,RIFT,1680.0,PALEOGENE,SANDSTONE,270.0,13.5,18.0,1800.0,857.0563294972744,0.36,,
YACHENG 13-1,LINGSHUI (LINGSHUI-3),CHINA,FAR EAST,QIONGDONGNAN,EXTENSION,17.5142,109.0088,CNOOC,OFFSHORE,GAS,PLATEAU PRODUCTION,RIFT,3381.0,PALEOGENE,SANDSTONE,205.8,92.4,12.7,281.0,825.072886297376,,,0.85
YAERXIA,BAIYANGHE (JIANQUANZI L SAND),CHINA,FAR EAST,JIUQUAN,,39.8015,97.4667,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,2300.1,PALEOGENE,SANDSTONE,60.0,15.6,,353.0,860.1823708206687,,,
YAERXIA,XIAGOU,CHINA,FAR EAST,JIUQUAN,COMPRESSION,39.8015,97.4667,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,3312.0,CRETACEOUS,SANDSTONE,186.0,34.5,8.5,2.4,865.4434250764525,,,
YAKELA,KAPSALIANG,CHINA,FAR EAST,TARIM,,41.5539,83.544,SINOPEC,ONSHORE,GAS-CONDENSATE,DEVELOPING,THRUST,5139.6,CRETACEOUS,SANDSTONE,48.3,24.6,,90.0,791.8298824846111,,0.4,0.6
YAKIN,BALIKPAPAN (YAKIN),INDONESIA,FAR EAST,KUTAI,INVERSION,-1.3522,116.8011,CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION,147.0,NEOGENE,SANDSTONE,1440.0,120.0,25.0,500.0,933.9933993399341,,,
YAMBURG,POKUR,RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,67.98,75.84,GAZPROM (YAMBURGGAZDOBYCHA),ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,984.0,CRETACEOUS,SANDSTONE,738.0,43.2,27.0,450.0,,,,0.85
YANGSANMU,GUANTAO-MINGHUAZHEN,CHINA,FAR EAST,BOHAI,EXTENSION,38.37,117.36,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,RIFT,1169.4,NEOGENE,SANDSTONE,784.5,19.8,31.0,1475.0,959.3220338983051,0.29,,
YANLING,WUMISHAN,CHINA,FAR EAST,BOHAI,EXTENSION,38.7349,115.9453,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,RIFT,2798.1,PROTEROZOIC,DOLOMITE,391.8,53.1,1.3,1.2,892.7444794952681,0.29,,
YAREGA,KOYVA,RUSSIA,FORMER SOVIET UNION,TIMAN-PECHORA,COMPRESSION,63.2992,53.6303,KOMINEFT,ONSHORE,OIL,PLATEAU PRODUCTION,INVERSION,144.0,DEVONIAN,SANDSTONE,30.0,16.8,21.0,1000.0,946.4882943143813,0.45,,
YATES,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.0,-102.8333,KINDER MORGAN,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1245.0,PERMIAN,DOLOMITE,67.5,60.0,17.5,62.0,876.1609907120743,,,
YIBAL,KHUFF,OMAN,MIDDLE EAST,FAHUD SALT,COMPRESSION,22.1333,56.0,PDO,ONSHORE,OIL,DECLINING PRODUCTION,SALT,2765.7,PERMIAN,DOLOMITE,201.0,75.0,15.0,5.0,820.2898550724638,0.16,,
YIBAL,SHUAIBA,OMAN,MIDDLE EAST,FAHUD SALT,COMPRESSION,22.1333,56.0,PDO,ONSHORE,OIL,DECLINING PRODUCTION,SALT,1332.0,CRETACEOUS,CHALK,105.0,90.0,28.0,5.0,825.072886297376,0.57,,
YIHEZHUANG,MAJIAGOU-BADOU,CHINA,FAR EAST,BOHAI,EXTENSION,37.9167,118.4333,SINOPEC,ONSHORE,OIL,NEARLY DEPLETED,RIFT,1791.0,ORDOVICIAN,DOLOMITE,168.0,24.6,2.5,8.4,876.1609907120743,0.32,,
YOUNG NORTH,BONE SPRING (2ND SANDSTONE),USA,NORTH AMERICA,PERMIAN,,32.767,-103.7601,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2494.5,PERMIAN,SHALY SANDSTONE,42.0,10.5,,1.0,839.7626112759643,0.14,,
YOWLUMNE,STEVENS,USA,NORTH AMERICA,SAN JOAQUIN,COMPRESSION,35.0461,-119.1904,CASTLE PEAK RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,WRENCH,3330.0,NEOGENE,THINLY-BEDDED SANDSTONE,60.0,45.0,20.0,75.0,865.4434250764525,0.4,,
ZAFIRO,AGBADA (QUA IBOE SANDS),EQUATORIAL GUINEA,AFRICA,NIGER DELTA,GRAVITY,3.8428,8.0797,EXXONMOBIL,OFFSHORE,OIL,DEVELOPING,DELTA,1320.0,NEOGENE,SANDSTONE,57.0,30.0,27.0,2000.0,849.8498498498498,0.5,,
ZAKUM,THAMAMA ZONE I,UAE,MIDDLE EAST,RUB AL KHALI,,24.8667,53.6833,ADMA /ZADCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT,1926.0,CRETACEOUS,LIMESTONE,36.3,15.0,,1.5,860.1823708206687,0.32,,
ZAKUM,THAMAMA ZONE II,UAE,MIDDLE EAST,RUB AL KHALI,GRAVITY,24.8667,53.6833,ADMA /ZADCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT,2082.0,CRETACEOUS,LIMESTONE,43.5,42.0,25.0,30.0,849.8498498498498,0.32,,
ZAKUM,THAMAMA ZONE III,UAE,MIDDLE EAST,RUB AL KHALI,GRAVITY,24.8667,53.6833,ADMA /ZADCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT,2125.5,CRETACEOUS,LIMESTONE,161.1,33.0,23.0,15.0,844.776119402985,0.32,,
ZAKUM,THAMAMA ZONE IV,UAE,MIDDLE EAST,RUB AL KHALI,GRAVITY,24.8667,53.6833,ADMA /ZADCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT,2355.0,CRETACEOUS,LIMESTONE,44.1,27.0,25.0,60.0,825.072886297376,0.35,,
ZAOYUAN,KONGDIAN-1 (ZAOBEI BLOCK),CHINA,FAR EAST,BOHAI,EXTENSION,38.21,117.06,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,RIFT,1615.2,PALEOGENE,SANDSTONE,69.0,20.7,26.7,1872.0,921.8241042345277,0.12,,
ZAOYUAN,KONGDIAN-1 (ZAONAN BLOCK),CHINA,FAR EAST,BOHAI,,38.21,117.06,PETROCHINA,ONSHORE,OIL,PLATEAU PRODUCTION,RIFT,1663.5,PALEOGENE,SANDSTONE,206.7,57.6,,126.0,892.7444794952681,0.28,,
ZAOYUAN,KONGDIAN-1 (ZILAITUN BLOCK),CHINA,FAR EAST,BOHAI,EXTENSION,38.21,117.06,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,1416.3,PALEOGENE,SANDSTONE,49.2,18.6,23.2,121.0,946.4882943143813,0.13,,
ZAOYUAN,KONGDIAN-2 (FENGHUADIAN BLOCK),CHINA,FAR EAST,BOHAI,,38.21,117.06,PETROCHINA,ONSHORE,OIL,PLATEAU PRODUCTION,RIFT,2273.7,PALEOGENE,SANDSTONE,88.5,23.7,,60.0,881.619937694704,0.19,,
ZAOYUAN,UNNAMED (FENGHUADIAN BLOCK),CHINA,FAR EAST,BOHAI,EXTENSION,38.21,117.06,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,RIFT,2952.9,MESOZOIC,VOLCANICS,147.6,58.2,12.7,3.6,870.7692307692307,0.05,,
ZHIRNOV,MELEKESKIAN,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION,51.0,44.8042,NIZHNEVOLZHSKNET,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,561.0,CARBONIFEROUS,SANDSTONE,78.6,9.9,24.0,30.0,887.1473354231974,0.24,,
ZHIRNOV,TULIAN B1,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION,51.0,44.8042,NIZHNEVOLZHSKNET,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,967.5,CARBONIFEROUS,SANDSTONE,38.4,13.2,26.0,1000.0,860.1823708206687,0.67,,
